    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     735       14625.4     0.0388   1.768E+01   1.4000   0.3206   1.559E-17   3.53390467E+00   8.01854001E+00
     740         14700     0.0386   1.856E+01   1.4000   0.3265   1.662E-17   3.53146561E+00   7.99400777E+00
     745       14792.2     0.0505   1.794E+01   1.4000   0.3373   1.772E-17   3.52865447E+00   7.96907666E+00
     750       14882.2     0.0390   1.791E+01   1.4000   0.3268   1.635E-17   3.52592608E+00   7.95008794E+00
     755       14971.8     0.0391   1.854E+01   1.4000   0.3285   1.814E-17   3.52310547E+00   7.93654784E+00
     760       15053.1     0.0499   1.687E+01   1.4000   0.2790   1.610E-17   3.52046086E+00   7.93709689E+00
     765       15134.2     0.0388   1.544E+01   1.4000   0.2676   1.680E-17   3.51777170E+00   7.94630940E+00
     770       15209.6     0.0388   1.460E+01   1.4000   0.2583   1.890E-17   3.51523833E+00   7.95614171E+00
     775       15282.1     0.0388   1.438E+01   1.4000   0.2694   1.658E-17   3.51278815E+00   7.96236390E+00
     780       15343.1     0.0505   1.449E+01   1.4000   0.2569   1.780E-17   3.51072074E+00   7.96316606E+00
     785       15415.9     0.0389   1.486E+01   1.4000   0.2565   2.028E-17   3.50827836E+00   7.95556374E+00
     790       15492.3     0.0391   1.586E+01   1.4000   0.3075   1.900E-17   3.50578648E+00   7.93835018E+00
     795       15575.6     0.0409   1.754E+01   1.4000   0.3208   1.782E-17   3.50317606E+00   7.91933182E+00
     800       15654.1     0.0508   1.723E+01   1.4000   0.3453   1.799E-17   3.50081289E+00   7.90380998E+00
     805         15738     0.0395   1.622E+01   1.4000   0.2971   1.865E-17   3.49837638E+00   7.88202350E+00
     810       15819.9     0.0394   1.642E+01   1.4000   0.3190   2.280E-17   3.49603670E+00   7.86246130E+00
     815         15900     0.0393   1.696E+01   1.4000   0.3249   1.940E-17   3.49377053E+00   7.85613091E+00
     820       15983.4     0.0504   1.585E+01   1.4000   0.2873   1.907E-17   3.49143604E+00   7.85452498E+00
     825       16062.6     0.0388   1.563E+01   1.4000   0.2852   1.737E-17   3.48922888E+00   7.85055395E+00
     830       16142.5     0.0392   1.623E+01   1.4000   0.3098   1.591E-17   3.48698646E+00   7.84808504E+00
     835       16216.6     0.0497   1.641E+01   1.4000   0.3094   1.919E-17   3.48484267E+00   7.84630831E+00
     840         16298     0.0393   1.621E+01   1.4000   0.3644   1.909E-17   3.48235869E+00   7.84099656E+00
     845       16378.5     0.0389   1.592E+01   1.4000   0.3466   1.755E-17   3.47974677E+00   7.83620680E+00
     850       16457.5     0.0390   1.620E+01   1.4000   0.3953   1.692E-17   3.47706781E+00   7.83280847E+00
     855         16533     0.0505   1.671E+01   1.4000   0.3564   1.732E-17   3.47444998E+00   7.82543871E+00
     860       16617.7     0.0394   1.719E+01   1.4000   0.3314   1.699E-17   3.47148660E+00   7.81434920E+00
     865       16702.7     0.0393   1.706E+01   1.4000   0.3128   1.751E-17   3.46851007E+00   7.79592847E+00
     870       16787.9     0.0389   1.213E+01   0.9885   0.2224   1.654E-17   3.46554164E+00   7.76271960E+00
     875       16867.8     0.0508   1.693E+01   1.4000   0.3595   2.239E-17   3.46280353E+00   7.73032141E+00
     880       16953.8     0.0399   1.734E+01   1.4000   0.3742   1.471E-17   3.45994978E+00   7.70039629E+00
     885       17042.2     0.0399   1.795E+01   1.4000   0.3320   1.622E-17   3.45714195E+00   7.67079694E+00
     890       17118.4     0.0508   1.875E+01   1.4000   0.3683   1.611E-17   3.45484063E+00   7.65224464E+00
     895       17206.5     0.0396   1.778E+01   1.4000   0.3852   1.508E-17   3.45232731E+00   7.63510149E+00
     900       17294.2     0.0396   1.747E+01   1.4000   0.3911   1.845E-17   3.44989570E+00   7.62148914E+00
     905       17380.1     0.0399   1.713E+01   1.4000   0.3857   1.688E-17   3.44746111E+00   7.61481083E+00
     910       17451.5     0.0512   1.735E+01   1.4000   0.3325   2.178E-17   3.44537602E+00   7.61427169E+00
     915       17538.7     0.0391   1.739E+01   1.4000   0.3507   1.785E-17   3.44279472E+00   7.61942561E+00
     920       17624.4     0.0391   1.677E+01   1.4000   0.3469   1.753E-17   3.44027079E+00   7.62575457E+00
     925         17700     0.0392   1.654E+01   1.4000   0.3536   1.684E-17   3.43808427E+00   7.62516089E+00
     930       17783.9     0.0513   1.716E+01   1.4000   0.3886   1.814E-17   3.43576385E+00   7.62164593E+00
     935       17869.8     0.0393   1.708E+01   1.4000   0.3021   2.113E-17   3.43353844E+00   7.61761239E+00
     940       17952.5     0.0388   1.596E+01   1.4000   0.2904   1.451E-17   3.43147337E+00   7.60590111E+00
     945       18032.2     0.1235   1.564E+01   1.4000   0.2810   2.041E-17   3.42948943E+00   7.58949219E+00
     950       18110.8     0.0384   1.609E+01   1.4000   0.2619   2.389E-17   3.42752404E+00   7.57569626E+00
     955       18192.4     0.0384   1.662E+01   1.4000   0.2819   1.899E-17   3.42553182E+00   7.56614303E+00
     960       18277.3     0.0382   1.772E+01   1.4000   0.2919   1.962E-17   3.42355191E+00   7.55691025E+00
     965       18350.4     0.0495   1.616E+01   1.4000   0.2540   1.961E-17   3.42189928E+00   7.54751603E+00
     970       18429.1     0.0378   1.544E+01   1.4000   0.2524   1.638E-17   3.42014446E+00   7.53749239E+00
     975       18504.3     0.0386   1.455E+01   1.4000   0.2557   1.912E-17   3.41848793E+00   7.53138906E+00
     980         18577     0.0390   1.433E+01   1.4000   0.2402   2.086E-17   3.41691700E+00   7.53005989E+00
     985       18643.6     0.0505   1.464E+01   1.4000   0.2669   2.326E-17   3.41548899E+00   7.53022158E+00
     990       18716.8     0.0389   1.459E+01   1.4000   0.2915   2.023E-17   3.41393044E+00   7.52873501E+00
     995       18790.9     0.0386   1.516E+01   1.4000   0.3306   1.896E-17   3.41235817E+00   7.52677807E+00
    1000       18864.1     0.0392   1.473E+01   1.2367   0.4000   1.926E-17   3.41078210E+00   7.52566285E+00
    1005       18926.8     0.0509   1.439E+01   1.1403   0.4000   2.015E-17   3.40937240E+00   7.52331474E+00
    1010       19002.2     0.0393   1.356E+01   1.0977   0.4000   1.713E-17   3.40757705E+00   7.52023339E+00
    1015         19075     0.0397   1.635E+01   1.3100   0.4000   1.941E-17   3.40574845E+00   7.51966236E+00
    1020       19160.6     0.0401   1.758E+01   1.4000   0.3818   1.520E-17   3.40357296E+00   7.52002432E+00
    1025       19235.3     0.0537   1.756E+01   1.4000   0.3835   1.957E-17   3.40174718E+00   7.51715164E+00
    1030       19318.6     0.0395   1.655E+01   1.3156   0.4000   1.612E-17   3.39981746E+00   7.50959188E+00
    1035       19406.2     0.0388   1.784E+01   1.4000   0.3582   1.525E-17   3.39782383E+00   7.49529117E+00
    1040       19494.5     0.0389   5.538E+00   0.4567   0.1111   2.373E-17   3.39575850E+00   7.46785792E+00
    1045       19566.6     0.0508   1.627E+01   1.4000   0.3175   2.324E-17   3.39398717E+00   7.44297582E+00
    1050       19646.5     0.0388   1.566E+01   1.4000   0.3189   1.752E-17   3.39192876E+00   7.42488744E+00
