    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    2740       527.001    12.8598   1.932E-01   0.2427   0.4000   7.746E-16   2.82000087E-02   5.59212464E-04
    2760       530.865    12.8772   1.932E-01   0.2469   0.4000   9.439E-16   2.82000088E-02   5.58590515E-04
    2780       534.729    12.8703   1.932E-01   0.2518   0.4000   1.072E-15   2.82000089E-02   5.57964372E-04
    2800       538.592    12.7643   1.932E-01   0.2572   0.4000   1.112E-15   2.82000090E-02   5.57333305E-04
    2820       542.318    13.6362   1.932E-01   0.2628   0.4000   1.457E-15   2.82000091E-02   5.56719206E-04
    2840       546.182    12.7466   1.932E-01   0.2697   0.4000   1.320E-15   2.82000091E-02   5.56075397E-04
    2860       550.046    12.7182   1.932E-01   0.2800   0.4000   1.707E-15   2.82000092E-02   5.55422899E-04
    2880        553.91    13.1324   1.932E-01   0.2920   0.4000   2.059E-15   2.82000091E-02   5.54759668E-04
    2900       557.774    12.8127   1.932E-01   0.3042   0.4000   2.510E-15   2.82000090E-02   5.54083133E-04
    2920       561.637    12.7511   1.932E-01   0.3178   0.4000   2.035E-15   2.82000088E-02   5.53390099E-04
    2940       565.501    12.7844   1.932E-01   0.3326   0.4000   2.318E-15   2.82000084E-02   5.52676648E-04
    2960       569.365    12.7152   1.932E-01   0.3494   0.4000   3.223E-15   2.82000078E-02   5.51938035E-04
    2980       573.091    12.7776   1.932E-01   0.3724   0.4000   3.138E-15   2.82000071E-02   5.51196634E-04
    3000       576.955    12.7102   1.932E-01   0.4000   0.4000   3.619E-15   2.82000059E-02   5.50390968E-04
    3020       580.819    12.7897   1.932E-01   0.4267   0.4000   3.882E-15   2.82000044E-02   5.49539847E-04
    3040       584.683    12.6839   1.932E-01   0.4582   0.4000   4.852E-15   2.82000025E-02   5.48633654E-04
    3060       588.546    12.9990   1.932E-01   0.5245   0.4000   5.985E-15   2.82000000E-02   5.47660841E-04
    3080        592.41    14.4646   1.932E-01   0.5929   0.4000   7.730E-15   2.81999968E-02   5.46607554E-04
    3100       596.274    14.1883   1.932E-01   0.6474   0.4000   9.492E-15   2.81999926E-02   5.45457582E-04
    3120           600    14.4126   1.932E-01   0.6895   0.4000   3.109E-15   2.81999867E-02   5.44240367E-04
    3140       603.864    15.6290   1.932E-01   0.7232   0.4000   1.247E-14   2.81999783E-02   5.42848103E-04
    3160       607.728    14.4923   1.932E-01   0.7327   0.4000   1.288E-14   2.81999678E-02   5.41307587E-04
    3180       611.592    13.8846   1.932E-01   0.7686   0.4000   1.360E-14   2.81999543E-02   5.39608097E-04
    3200       615.455    13.7651   1.932E-01   0.8143   0.4000   1.431E-14   2.81999353E-02   5.37746588E-04
    3220       619.319    14.9423   1.932E-01   0.8490   0.4000   1.366E-14   2.81999077E-02   5.35725347E-04
    3240       623.183    14.7501   1.932E-01   0.9414   0.4000   1.242E-14   2.81998726E-02   5.33546324E-04
    3260       626.871    14.0776   1.915E-01   1.0000   0.3964   1.260E-14   2.81998417E-02   5.31321833E-04
    3280       630.571    15.0616   1.932E-01   0.9838   0.4000   1.093E-14   2.81998058E-02   5.28952377E-04
    3300       634.227    14.8364   1.649E-01   1.0000   0.3414   9.659E-15   2.81997647E-02   5.26482858E-04
    3320       637.203    13.7130   1.285E-01   1.0000   0.2660   6.624E-15   2.81997395E-02   5.24381223E-04
